OBJECTID,trans_id,group_,UTMX,UTMY,Photo,Trans,lat,long_,id_group,id_group_X,id_group_Y,RASTERVALU
1,1,1,215768.975600000005215,9068878.668999999761581,300010045,1,-8.415061000000000,126.418914999999998,1_1,1.000000000000000,1.000000000000000,0.0000000
2,1,2,215804.207300000009127,9068850.017000000923872,300010069,1,-8.415322000000000,126.419233000000006,1_2,2.000000000000000,1.000000000000000,0.0000000
3,1,3,215817.736899999988964,9068837.048000000417233,300010079,1,-8.415440000000000,126.419354999999996,1_3,3.000000000000000,1.000000000000000,0.0000000
4,1,4,215844.785200000012992,9068812.768999999389052,300010098,1,-8.415661000000000,126.419599000000005,1_4,4.000000000000000,1.000000000000000,0.0000000
5,1,5,215878.479300000006333,9068783.333000000566244,300010121,1,-8.415929000000000,126.419903000000005,1_5,5.000000000000000,1.000000000000000,0.0000000
6,1,6,215899.434000000008382,9068763.993000000715256,300010135,1,-8.416105000000000,126.420091999999997,1_6,6.000000000000000,1.000000000000000,0.0000000
7,1,7,215933.206100000010338,9068739.426999999210238,300010155,1,-8.416328999999999,126.420396999999994,1_7,7.000000000000000,1.000000000000000,0.0000000
8,1,8,215992.824400000012247,9068705.734999999403954,300010178,1,-8.416637000000000,126.420935999999998,1_8,8.000000000000000,1.000000000000000,0.0000000
9,1,9,216034.570999999996275,9068675.023000000044703,300010187,1,-8.416917000000000,126.421312999999998,1_9,9.000000000000000,1.000000000000000,0.0000000
10,1,10,216063.020099999994272,9068655.512000000104308,300010231,1,-8.417095000000000,126.421570000000003,1_10,10.000000000000000,1.000000000000000,0.0000000
11,1,11,216086.237699999997858,9068643.934000000357628,300010245,1,-8.417201000000000,126.421779999999998,1_11,11.000000000000000,1.000000000000000,0.0000000
12,1,12,216126.707900000008522,9068622.952999999746680,300010265,1,-8.417393000000001,126.422145999999998,1_12,12.000000000000000,1.000000000000000,0.0000000
13,1,13,216144.128999999986263,9068587.986999999731779,300010298,1,-8.417710000000000,126.422302000000002,1_13,13.000000000000000,1.000000000000000,0.0000000
14,1,14,216180.434399999998277,9068563.547000000253320,300010321,1,-8.417933000000000,126.422629999999998,1_14,14.000000000000000,1.000000000000000,0.0000000
15,1,15,216209.443900000012945,9068542.600999999791384,300010339,1,-8.418124000000001,126.422892000000004,1_15,15.000000000000000,1.000000000000000,0.0000000
16,1,16,216235.654000000009546,9068528.387000000104308,300010354,1,-8.418253999999999,126.423129000000003,1_16,16.000000000000000,1.000000000000000,0.0000000
17,1,17,216275.908699999999953,9068506.630000000819564,300010377,1,-8.418453000000000,126.423492999999993,1_17,17.000000000000000,1.000000000000000,0.0000000
18,1,18,216309.425699999992503,9068487.263000000268221,300010398,1,-8.418630000000000,126.423795999999996,1_18,18.000000000000000,1.000000000000000,0.0000000
19,1,19,216338.081800000014482,9068469.744999999180436,300010421,1,-8.418790000000000,126.424054999999996,1_19,19.000000000000000,1.000000000000000,0.0000000
20,1,20,216382.061799999995856,9068451.221000000834465,300010446,1,-8.418960000000000,126.424453000000000,1_20,20.000000000000000,1.000000000000000,0.0000000
21,1,21,216413.810599999997066,9068449.327999999746680,300010461,1,-8.418979000000000,126.424740999999997,1_21,21.000000000000000,1.000000000000000,0.0000000
